,Distance
132,4.0274
133,0.7613
134,2.6825
135,3.5868
136,0.9846
137,0.6934
138,1.3744
139,0.4735
140,0.7132999999999999
141,0.7627
142,0.7511
143,1.6714
144,1.8618
145,1.0119
146,0.8262999999999999
147,1.2185
148,1.2963
149,1.3093
150,2.2218
151,0.8979
152,2.3638000000000003
153,3.1106
154,0.8448
155,2.1406
156,4.1786
157,5.5557
158,5.8507
159,2.4417
160,4.871899999999999
161,5.5423
162,5.2859
163,4.097899999999999
164,3.9092
165,2.8274
166,2.6881999999999997
167,2.5579
168,2.363
169,1.0305
170,0.5665
171,0.9897
172,0.36110000000000003
173,0.4097
174,2.345
175,0.7852
176,2.5535
177,1.7905
178,2.132
179,2.3575
180,2.6886
181,2.2032
182,1.2654
183,5.646
184,4.2801
185,5.072100000000001
186,6.5058
187,7.1739
188,8.673200000000001
189,6.2939
190,6.6123
191,8.1516
192,6.1864
193,5.7861
194,1.3022
195,2.0419
196,1.8660999999999999
197,1.9495
198,0.9207000000000001
199,1.6689
200,2.5171
201,1.5402
202,2.8266
203,1.8902
204,1.5265
205,1.3487
206,1.1683
207,2.5095
208,12.916
209,13.9005
210,2.3588
211,13.2714
212,9.7479
213,4.2725
214,15.309899999999999
215,15.1938
216,12.3512
217,11.6935
218,2.8165
219,11.114700000000001
220,1.2146
221,2.1018000000000003
222,3.4065
223,2.1811
224,14.3729
225,11.2026
226,13.2584
227,11.6841
228,12.9278
229,3.6078
230,3.652
231,5.564
232,8.9215
233,2.8408
234,11.1053
235,1.0189
236,10.9542
237,15.5242
238,3.4583000000000004
239,12.1496
240,1.3729
241,0.5956
242,0.7186
243,2.2074000000000003
244,2.2074000000000003
245,1.0654000000000001
246,0.1761
247,1.4272
248,2.6714
249,1.1629
250,1.0947
251,0.4255
252,0.889
253,1.1604
254,1.4684000000000001
255,0.4194
256,0.614
257,1.9465999999999999
258,0.8609
259,2.2074000000000003
260,0.6524
261,2.7169
262,1.4230999999999998
263,0.09259999999999999
264,1.5509000000000002
265,2.9599
266,2.4032
267,1.267
268,2.7771999999999997
269,3.8878000000000004
270,2.3072
271,9.1228
272,6.0276000000000005
273,6.0171
274,5.5142
275,4.646199999999999
276,4.3267
277,5.6887
278,4.708600000000001
279,5.4802
280,5.4538
281,4.8413
282,1.0947
283,1.3408
284,1.3616
285,1.2661
286,0.811
287,4.8999
288,2.772
289,3.7679
290,4.9764
291,2.716
292,2.9349000000000003
293,2.4369
294,2.0942
295,2.0701
296,3.0627
297,3.9086999999999996
298,1.2041
299,0.2783
300,2.6761999999999997
301,1.1562000000000001
302,1.9753
303,1.067
304,0.8886000000000001
305,0.8886000000000001
306,1.808
307,1.1665999999999999
308,1.8500999999999999
309,6.102399999999999
310,9.3685
311,9.329799999999999
312,9.732
313,9.1949
314,6.5775
315,9.0861
316,6.843100000000001
317,3.1542
318,4.0013000000000005
319,2.2889
320,2.6154
321,2.5513000000000003
322,3.0541
323,2.3354
324,1.6725999999999999
325,2.5513000000000003
326,2.8969
327,2.8722
328,6.9206
329,8.4429
330,5.0059
331,7.272399999999999
332,8.0285
333,8.226700000000001
334,6.7183
335,7.8862
336,7.779
337,5.4688
338,8.54
339,7.6048
340,6.2748
341,6.3572
342,4.034800000000001
343,8.8353
344,6.8218000000000005
345,10.5315
346,10.2394
347,10.6171
348,15.530100000000001
349,11.9024
350,10.0093
351,11.361799999999999
352,5.687600000000001
353,9.8016
354,6.483
355,12.5099
356,7.9543
357,8.3548
358,5.8252
359,10.571299999999999
360,8.3548
361,8.1335
362,8.5289
363,10.1078
364,11.807799999999999
365,10.010299999999999
366,9.7225
367,7.6491999999999996
368,9.0105
369,15.3162
370,5.680899999999999
371,9.588700000000001
372,9.7144
373,7.845899999999999
374,6.9402
375,9.9664
376,14.973
377,8.0416
378,7.537
379,15.4342
380,14.3098
381,12.168299999999999
382,6.219600000000001
383,0.7202999999999999
384,0.5454
385,1.6639000000000002
386,1.1289
387,1.37
388,1.9697
389,1.5217
390,0.9134
391,0.8041
392,0.5962999999999999
393,0.4413
394,0.9869
395,1.6909
396,1.0346
397,0.7697
398,8.0032
399,6.815300000000001
400,6.105
401,5.401800000000001
402,5.4077
403,4.4845
404,6.5859
405,8.5591
406,1.1910999999999998
407,1.5537
408,1.5325
409,2.2577
410,1.3669
411,1.302
412,2.1044
413,1.2110999999999998
414,2.0836
415,1.5594000000000001
416,1.351
417,1.6036
418,0.6447
419,2.2463
420,1.5868
421,1.2612999999999999
422,1.458
423,2.2741
424,2.375
425,1.4173
426,1.3326
427,2.0272
428,2.9547
429,3.0288000000000004
430,4.1191
431,3.5098000000000003
432,5.7459
433,1.7019000000000002
434,2.8229
435,0.9937
436,1.3344
437,2.5684
438,2.2753
439,1.6532
