,Distance
433,2.8931999999999998
434,1.235
435,2.5578000000000003
436,3.0928
437,0.8362
438,2.899
439,1.4044
440,3.4326999999999996
441,3.0251
442,3.5561
443,1.98
444,2.9708
445,1.1519000000000001
446,5.4076
447,2.1323000000000003
448,0.49389999999999995
449,0.6631
450,1.3657000000000001
451,1.4546
452,1.4546
453,0.7411
454,0.8823
455,2.2319
456,0.2567
457,0.474
458,0.8232
459,1.3428
460,1.0555
461,1.2138
462,0.8045
463,0.5106
464,0.474
465,2.2870999999999997
466,1.5855
467,1.7225
468,1.3375
469,1.3719000000000001
470,1.4377
471,1.1469
472,1.8911
473,1.0472000000000001
474,1.8964
475,1.227
476,1.2679
477,1.2679
478,1.7225
479,1.1930999999999998
480,1.0555
481,1.1036
482,1.5209000000000001
483,1.5209000000000001
484,1.4975
485,1.305
486,1.0669000000000002
487,1.0096
488,1.0096
489,1.2326
490,1.3908
491,1.305
492,1.291
493,1.305
494,0.8336
495,1.0096
496,1.1036
497,2.1794000000000002
498,1.0957000000000001
499,1.6414000000000002
500,1.0096
501,1.4212
502,2.0336
503,1.4738
504,1.0096
505,1.0669000000000002
506,1.2325
507,1.0012999999999999
508,1.5389000000000002
509,1.491
510,1.4365999999999999
511,0.774
512,9.9786
513,6.5508999999999995
514,9.7565
515,5.748399999999999
516,7.018800000000001
517,9.6405
518,6.6995
519,5.5539
520,5.4748
521,8.345600000000001
522,5.1094
523,8.1805
524,10.3597
525,9.600299999999999
526,5.4923
527,9.4497
528,10.0662
529,10.1063
530,4.2597
531,0.7855
532,2.1438
533,1.8633
534,0.6377
535,1.3658
536,1.5144000000000002
537,1.7562
538,1.2335
539,0.901
540,1.7597
541,1.7597
542,1.5228
543,0.3821
544,1.0816
545,2.9905
546,0.953
547,1.6182999999999998
548,0.7228
549,0.5494
550,1.2807
551,2.2226999999999997
552,1.4084
553,0.9237000000000001
554,1.4928
555,0.6357999999999999
556,2.6386999999999996
557,1.6935
558,2.0352
