sa2_code,sa2_name,property_type,extracted_price,ERP_2021,ERP_2026,OCC_2021,OCC_2026,population_growth_2021_2026,population_density_persons_per_km2_2023,Median,Mean,Top 10%,Gini coefficient,IPR,HPI,PDI,GII,Affordability_Score
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
